hit_type,marker_id,sent_id,token_idx,token_end_idx,target_lemma,target_surface,sent_text,prev_sent_text,next_sent_text,context_window,overlaps_phrase,phrase_overlap_ids,is_noise,noise_reason,count_in_main_stats,hit_id,marker_label,microtheme,phrase_family,unit_type,marker_source,precision_level,source_type,risk_comment,unit_raw,unit_norm,MelekhovLink,MelekhovEvidence,Perspective,PerspectiveEvidence,PerspectiveConfidence,SpeakerDetected,AddresseeDetected,OthersSpeechAct,BookId,Book,PartId,Part
PHRASE,PHR_135,0,4,6,думать о случившемся,думал о случившемся,Григорий подумал и долго думал о случившемся.,,"Подумаешь, дерьмо какое — сказал он и махнул рукой.","Григорий подумал и долго думал о случившемся. Подумаешь, дерьмо какое — сказал он и махнул рукой.",False,,False,,True,1,думал о случившемся [процесс размышления],процесс размышления,THINK_GENERAL,PHRASE,PHRASE,CORE,manual_expanded,,думал о случившемся,думать о случившемся,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,-1,UNKNOWN,1,Часть 1
WORD,S1_002,0,1,1,подумать,подумал,Григорий подумал и долго думал о случившемся.,,"Подумаешь, дерьмо какое — сказал он и махнул рукой.","Григорий подумал и долго думал о случившемся. Подумаешь, дерьмо какое — сказал он и махнул рукой.",False,,False,,True,2,подумать [инициация мысли],инициация мысли,WORD_CORE,WORD,S1,CORE,curated,,подумать,подумать,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,-1,UNKNOWN,1,Часть 1
WORD,S1_001,0,4,4,думать,думал,Григорий подумал и долго думал о случившемся.,,"Подумаешь, дерьмо какое — сказал он и махнул рукой.","Григорий подумал и долго думал о случившемся. Подумаешь, дерьмо какое — сказал он и махнул рукой.",True,PHR_135,False,,False,3,думать [процесс размышления],процесс размышления,WORD_CORE,WORD,S1,CORE,curated,,думать,думать,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,-1,UNKNOWN,1,Часть 1
WORD,S1_002,1,0,0,подумать,Подумаешь,"Подумаешь, дерьмо какое — сказал он и махнул рукой.",Григорий подумал и долго думал о случившемся.,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Григорий подумал и долго думал о случившемся. Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.",False,,True,PARTICLE_PODUMAYESH,True,4,подумать [инициация мысли],инициация мысли,WORD_CORE,WORD,S1,CORE,curated,,подумать,подумать,PROBABLE,prev_sentence:Григорий+pronoun,NARRATOR_ABOUT_HERO,narrative_context;hero_near+pronoun,MEDIUM,NARRATOR,,,-1,UNKNOWN,1,Часть 1
PHRASE,PHR_048,2,2,3,вспомнить разговор,вспомнил разговор,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",False,,False,,True,5,вспомнить разговор [память / воспоминание],память / воспоминание,REMEMBER,PHRASE,PHRASE,CORE,manual_existing,,вспомнить разговор,вспомнить разговор,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,-1,UNKNOWN,1,Часть 1
PHRASE,PHR_047,2,5,7,восстановить в память,восстановил в памяти,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",False,,False,,True,6,восстановил в памяти [память / воспоминание],память / воспоминание,MEMORY_SURFACE,PHRASE,PHRASE,CORE,manual_existing,,восстановил в памяти,восстановить в память,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,-1,UNKNOWN,1,Часть 1
PHRASE,PHR_351,2,9,11,ему стать ясно,ему стало ясно,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",False,,False,,True,7,ему стало ясно [понимание / ясность],понимание / ясность,BECOME_CLEAR,PHRASE,PHRASE,CORE,manual_expanded,,ему стало ясно,ему стать ясно,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,-1,UNKNOWN,1,Часть 1
WORD,S1_014,2,2,2,вспомнить,вспомнил,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",True,PHR_048,False,,False,8,вспомнить [память / воспоминание],память / воспоминание,WORD_CORE,WORD,S1,CORE,curated,,вспомнить,вспомнить,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,-1,UNKNOWN,1,Часть 1
WORD,S1_020,2,11,11,ясно,ясно,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",True,PHR_351,False,,False,9,ясно [понимание / ясность],понимание / ясность,WORD_CORE,WORD,S1,CORE,curated,,ясно,ясно,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,-1,UNKNOWN,1,Часть 1
PHRASE,PHR_106,3,0,1,пораскинуть мозг,Пораскинь мозгами,"— Пораскинь мозгами и пойми, — сказал Ермаков.","Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.",Гришка мысленно проговорил: «Ребячья игра».,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",False,,False,,True,10,пораскинуть мозгами [фразеология мышления],фразеология мышления,HEAD_MIND,PHRASE,PHRASE,EXTENDED,manual_existing,,пораскинуть мозгами,пораскинуть мозг,PROBABLE,prev_sentence:Григорий,OTHERS_TO_HERO,direct_speech;speech_verb_other:Ермаков;speechact=PROMPT;hero_link=PROBABLE,LOW,Ермаков,HERO_PROBABLE,PROMPT,-1,UNKNOWN,1,Часть 1
WORD,S1_023,3,0,0,пораскинуть,Пораскинь,"— Пораскинь мозгами и пойми, — сказал Ермаков.","Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.",Гришка мысленно проговорил: «Ребячья игра».,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",True,PHR_106,False,,False,11,пораскинуть [рассуждение / вывод],рассуждение / вывод,WORD_CORE,WORD,S1,CORE,curated,,пораскинуть,пораскинуть,PROBABLE,prev_sentence:Григорий,OTHERS_TO_HERO,direct_speech;speech_verb_other:Ермаков;speechact=PROMPT;hero_link=PROBABLE,LOW,Ермаков,HERO_PROBABLE,PROMPT,-1,UNKNOWN,1,Часть 1
WORD,S1_017,3,3,3,понять,пойми,"— Пораскинь мозгами и пойми, — сказал Ермаков.","Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.",Гришка мысленно проговорил: «Ребячья игра».,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",False,,False,,True,12,понять [понимание / ясность],понимание / ясность,WORD_CORE,WORD,S1,CORE,curated,,понять,понять,PROBABLE,prev_sentence:Григорий,OTHERS_TO_HERO,direct_speech;speech_verb_other:Ермаков;speechact=PROMPT;hero_link=PROBABLE,LOW,Ермаков,HERO_PROBABLE,PROMPT,-1,UNKNOWN,1,Часть 1
PHRASE,PHR_035,4,1,2,мысленно проговорить,мысленно проговорил,Гришка мысленно проговорил: «Ребячья игра».,"— Пораскинь мозгами и пойми, — сказал Ермаков.",,"— Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",False,,False,,True,13,мысленно проговорил [внутренняя речь],внутренняя речь,INNER_SPEECH,PHRASE,PHRASE,EXTENDED,manual_existing,,мысленно проговорил,мысленно проговорить,YES,same_sentence:Гришка,HERO_INNER_SPEECH,direct_speech+inner_marker;speech_verb_after_name:Гришка,HIGH,Гришка,,,-1,UNKNOWN,1,Часть 1
WORD,S1_012,4,1,1,мысленно,мысленно,Гришка мысленно проговорил: «Ребячья игра».,"— Пораскинь мозгами и пойми, — сказал Ермаков.",,"— Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",True,PHR_035,False,,False,14,мысленно [мысленный акт/реплика],мысленный акт/реплика,WORD_CORE,WORD,S1,CORE,curated,,мысленно,мысленно,YES,same_sentence:Гришка,HERO_INNER_SPEECH,direct_speech+inner_marker;speech_verb_after_name:Гришка,HIGH,Гришка,,,-1,UNKNOWN,1,Часть 1
