id,microtheme,unit,unit_type,comment
S1_001,процесс размышления,думать,WORD,core
S1_002,инициация мысли,подумать,WORD,core (requires noise filter for particle "подумаешь")
S1_003,инициация мысли,задуматься,WORD,core
S1_004,решение,решить,WORD,core
S1_005,решение,решать,WORD,imperfective (process of deciding)
S1_006,процесс размышления,размышлять,WORD,
S1_007,процесс размышления,раздумывать,WORD,
S1_008,процесс размышления,обдумывать,WORD,
S1_009,сомнение/колебание,сомнение,WORD,
S1_010,сомнение/колебание,колебаться,WORD,
S1_011,мысленный акт/реплика,мысль,WORD,required by supervisor
S1_012,мысленный акт/реплика,мысленно,WORD,
S1_013,мысленный акт/реплика,мыслить,WORD,
S1_014,память/воспоминание,вспомнить,WORD,required by supervisor example
S1_015,память/воспоминание,припомнить,WORD,
S1_016,память/воспоминание,помнить,WORD,
S1_017,понимание/ясность,понять,WORD,
S1_018,понимание/ясность,осознать,WORD,
S1_019,понимание/ясность,уразуметь,WORD,
S1_020,понимание/ясность,ясно,WORD,predicative marker ("стало ясно")
S1_021,оценка/рассуждение,рассуждать,WORD,
S1_022,оценка/рассуждение,сообразить,WORD,
S1_023,оценка/рассуждение,пораскинуть,WORD,used in phrase with "мозгами"
S1_024,намерение/мысль о действии,намереваться,WORD,
S1_025,мнение/суждение,полагать,WORD,optional (can be noisy)
