hit_type,marker_id,sent_id,token_idx,token_end_idx,target_lemma,target_surface,sent_text,prev_sent_text,next_sent_text,context_window,overlaps_phrase,phrase_overlap_ids,is_noise,noise_reason,count_in_main_stats,hit_id
PHRASE,PHR_060,18,7,8,не забывать,не забывая,"В курень его не ходил до смерти, не забывая обиды.","Пленная турчанка сторонилась родных Прокофия, и старик Мелехов вскоре отделил сына.","Прокофий обстроился скоро: плотники срубили курень, сам пригородил базы для скотины и к осени увел на новое хозяйство сгорбленную иноземку-жену.","Пленная турчанка сторонилась родных Прокофия, и старик Мелехов вскоре отделил сына. В курень его не ходил до смерти, не забывая обиды. Прокофий обстроился скоро: плотники срубили курень, сам пригородил базы для скотины и к осени увел на новое хозяйство сгорбленную иноземку-жену.",False,,False,,True,1
WORD,S1_001,225,8,8,думать,думал,"«Выкуси, батя, хоть стреноженный уйду ноне на игрище», — думал, злобно обгрызая глазами крутой отцовский затылок.","Покусывая губы, шел Григорий позади отца.","Дома Григорий заботливо смыл с сазаньей чешуи присохший песок, продел сквозь жабры хворостинку.","Покусывая губы, шел Григорий позади отца. «Выкуси, батя, хоть стреноженный уйду ноне на игрище», — думал, злобно обгрызая глазами крутой отцовский затылок. Дома Григорий заботливо смыл с сазаньей чешуи присохший песок, продел сквозь жабры хворостинку.",False,,False,,True,2
WORD,S1_014,390,6,6,вспомнить,вспомнил,"Григорий, засыпая под мерный баюкающий скрип, вспомнил: «А ить завтра Петру в лагеря выходить.","— Коня с седлом,
С золотым махром…",Останется Дашка с дитем…,"— Коня с седлом,
С золотым махром… Григорий, засыпая под мерный баюкающий скрип, вспомнил: «А ить завтра Петру в лагеря выходить. Останется Дашка с дитем…",False,,False,,True,3
WORD,S1_020,489,6,6,ясно,ясно,"Поднимаясь в гору, Аксинья клонилась вперед, ясно вылегала под рубахой продольная ложбинка на спине.","На тяжелом узле волос пламенела расшитая цветным шелком шлычка, розовая рубаха, заправленная в юбку, не морщинясь, охватывала крутую спину и налитые плечи.","Григорий видел бурые круги слинявшей под мышками от пота рубахи, провожал глазами каждое движение.","На тяжелом узле волос пламенела расшитая цветным шелком шлычка, розовая рубаха, заправленная в юбку, не морщинясь, охватывала крутую спину и налитые плечи. Поднимаясь в гору, Аксинья клонилась вперед, ясно вылегала под рубахой продольная ложбинка на спине. Григорий видел бурые круги слинявшей под мышками от пота рубахи, провожал глазами каждое движение.",False,,False,,True,4
WORD,S1_002,532,2,2,подумать,подумают,"Увидют, что́ подумают?","— Пусти, дьявол, вон люди!","Она метнула по сторонам испуганным взглядом и прошла, хмурясь и не оглядываясь.","— Пусти, дьявол, вон люди! Увидют, что́ подумают? Она метнула по сторонам испуганным взглядом и прошла, хмурясь и не оглядываясь.",False,,False,,True,5
WORD,S1_002,558,0,0,подумать,Подумав,"— Подумав, добавил, как новость сообщил: — Уехал Петро.",— Ворота возьмись поправь да стояно́к на углу врой.,"Через плетень Григорий видел, как собирался Степан.","— Ворота возьмись поправь да стояно́к на углу врой. — Подумав, добавил, как новость сообщил: — Уехал Петро. Через плетень Григорий видел, как собирался Степан.",False,,False,,True,6
WORD,S1_020,706,5,5,ясно,ясно,"Небо, выстиранное дождем, строго и ясно.",Лоснится земля невпитанной влагой.,"Распутывая бредень, Григорий всматривается в Аксинью.","Лоснится земля невпитанной влагой. Небо, выстиранное дождем, строго и ясно. Распутывая бредень, Григорий всматривается в Аксинью.",False,,False,,True,7
WORD,S1_001,711,1,1,думать,думала,Я думала — ты утоп.,Спужалась до смерти!,Руки их сталкиваются.,Спужалась до смерти! Я думала — ты утоп. Руки их сталкиваются.,False,,False,,True,8
WORD,ALEX_012,820,3,3,догадаться,догадался,"А мальчишка, он догадался,
Стал коня свово седлать…","— Христоня, подмоги!","Степан переводит на Петра улыбающийся взгляд выпученных глаз, и Петро, вытянув изо рта усину, присоединяет голос.","— Христоня, подмоги! А мальчишка, он догадался,
Стал коня свово седлать… Степан переводит на Петра улыбающийся взгляд выпученных глаз, и Петро, вытянув изо рта усину, присоединяет голос.",False,,False,,True,9
WORD,ALEX_012,904,9,9,догадаться,догадался,"Позапрошлый год в Каменскую на суд вызывали, а батя догадался — успел помереть.","Он нас, стал быть, сгреб — и в станицу.","Отписали бумагой, что в живых его нету.","Он нас, стал быть, сгреб — и в станицу. Позапрошлый год в Каменскую на суд вызывали, а батя догадался — успел помереть. Отписали бумагой, что в живых его нету.",False,,False,,True,10
WORD,S1_016,919,2,2,помнить,помни,"Так и помни: убью, ежели что… — пообещал он ей.","— Убью, ежели пикнешь слово, а будешь помалкивать — справлю плюшевую кофту и гетры с калошами.","Ночью, в одной изорванной исподнице, прибежала Аксинья в хутор.","— Убью, ежели пикнешь слово, а будешь помалкивать — справлю плюшевую кофту и гетры с калошами. Так и помни: убью, ежели что… — пообещал он ей. Ночью, в одной изорванной исподнице, прибежала Аксинья в хутор.",False,,False,,True,11
WORD,ALEX_008,963,12,12,вспоминать,вспоминала,"На заре, просыпаясь доить коров, она улыбалась и, еще не сознавая отчего, вспоминала: «Нынче что-то есть радостное.","Тепло и приятно ей было, когда черные Гришкины глаза ласкали ее тяжко и исступленно.",Что же?,"Тепло и приятно ей было, когда черные Гришкины глаза ласкали ее тяжко и исступленно. На заре, просыпаясь доить коров, она улыбалась и, еще не сознавая отчего, вспоминала: «Нынче что-то есть радостное. Что же?",False,,False,,True,12
WORD,S1_011,967,9,9,мысль,мыслях,"Пугало это новое, заполнявшее всю ее чувство, и в мыслях шла ощупью, осторожно, как через Дон по мартовскому ноздреватому льду.",Гриша…»,"Проводив Степана в лагеря, решила с Гришкой видеться как можно реже.","Гриша…» Пугало это новое, заполнявшее всю ее чувство, и в мыслях шла ощупью, осторожно, как через Дон по мартовскому ноздреватому льду. Проводив Степана в лагеря, решила с Гришкой видеться как можно реже.",False,,False,,True,13
WORD,S1_004,968,4,4,решить,решила,"Проводив Степана в лагеря, решила с Гришкой видеться как можно реже.","Пугало это новое, заполнявшее всю ее чувство, и в мыслях шла ощупью, осторожно, как через Дон по мартовскому ноздреватому льду.",После ловли бреднем решение это укрепилось в ней еще прочнее.,"Пугало это новое, заполнявшее всю ее чувство, и в мыслях шла ощупью, осторожно, как через Дон по мартовскому ноздреватому льду. Проводив Степана в лагеря, решила с Гришкой видеться как можно реже. После ловли бреднем решение это укрепилось в ней еще прочнее.",False,,False,,True,14
WORD,S1_011,1152,5,5,мысль,мыслях,"Аксинья неотступно была в его мыслях; полузакрыв глаза, мысленно целовал ее, говорил ей откуда-то набредавшие на язык горячие и ласковые слова, потом отбрасывал это, шагал под счет — раз, два, три; память подсовывала отрезки воспоминаний: «Сидели под мокрой копной… в ендове свиристела турчелка… месяц над займищем… и с куста в лужину редкие капли вот так же — раз, два, три…","Впереди рассыпанной радугой цвели бабьи завески, но он искал глазами одну, белую с прошитой каймой; оглядывался на Аксинью и, снова приноравливаясь к отцову шагу, махал косой.","Хорошо, ах, хорошо-то!..»","Впереди рассыпанной радугой цвели бабьи завески, но он искал глазами одну, белую с прошитой каймой; оглядывался на Аксинью и, снова приноравливаясь к отцову шагу, махал косой. Аксинья неотступно была в его мыслях; полузакрыв глаза, мысленно целовал ее, говорил ей откуда-то набредавшие на язык горячие и ласковые слова, потом отбрасывал это, шагал под счет — раз, два, три; память подсовывала отрезки воспоминаний: «Сидели под мокрой копной… в ендове свиристела турчелка… месяц над займищем… и с куста в лужину редкие капли вот так же — раз, два, три… Хорошо, ах, хорошо-то!..»",False,,False,,True,15
