marker_id,marker_source,microtheme,phrase_family,unit_type,unit_raw,unit_norm,marker_label,precision_level,source_type,enabled,risk_comment,comment
ALEX_006,ALEXANDROVA,процесс размышления,WORD_ALEXANDROVA,WORD,соображать,соображать,соображать [процесс размышления],CORE,dictionary,1,,дополнительная словарная единица
ALEX_007,ALEXANDROVA,память / воспоминание,WORD_ALEXANDROVA,WORD,припоминать,припоминать,припоминать [память / воспоминание],CORE,dictionary,1,,дополнительная словарная единица
ALEX_008,ALEXANDROVA,память / воспоминание,WORD_ALEXANDROVA,WORD,вспоминать,вспоминать,вспоминать [память / воспоминание],CORE,dictionary,1,,дополнительная словарная единица
ALEX_011,ALEXANDROVA,понимание / ясность,WORD_ALEXANDROVA,WORD,осознавать,осознавать,осознавать [понимание / ясность],CORE,dictionary,1,,дополнительная словарная единица
ALEX_012,ALEXANDROVA,понимание / ясность,WORD_ALEXANDROVA,WORD,догадаться,догадаться,догадаться [понимание / ясность],CORE,dictionary,1,,дополнительная словарная единица
PHR_001,PHRASE,инициация мысли,COME_TO_MIND,PHRASE,прийти на ум,прийти на ум,прийти на ум [инициация мысли],CORE,manual_existing,1,,исходный фразовый маркер
PHR_002,PHRASE,инициация мысли,COME_TO_MIND,PHRASE,прийти в голову,прийти в голова,прийти в голову [инициация мысли],CORE,manual_existing,1,,устойчивая когнитивная формула
PHR_003,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,пришла мысль,прийти мысль,пришла мысль [инициация мысли],CORE,manual_existing,1,,вариант формулы появления мысли
PHR_004,PHRASE,инициация мысли,FLASH_THOUGHT,PHRASE,мелькнуть в голове,мелькнуть в голова,мелькнуть в голове [инициация мысли],CORE,manual_existing,1,,исходный фразовый маркер
PHR_005,PHRASE,инициация мысли,FLASH_THOUGHT,PHRASE,мелькнула мысль,мелькнуть мысль,мелькнула мысль [инициация мысли],CORE,manual_existing,1,,вариант формулы появления мысли
PHR_006,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,возникла мысль,возникнуть мысль,возникла мысль [инициация мысли],CORE,manual_existing,1,,появление мысли
PHR_007,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,явилась мысль,явиться мысль,явилась мысль [инициация мысли],CORE,manual_existing,1,,появление мысли
PHR_008,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,родилась мысль,родиться мысль,родилась мысль [инициация мысли],CORE,manual_existing,1,,появление мысли
PHR_009,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,зародилась мысль,зародиться мысль,зародилась мысль [инициация мысли],CORE,manual_existing,1,,появление мысли
PHR_010,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,шевельнулась мысль,шевельнуться мысль,шевельнулась мысль [инициация мысли],CORE,manual_existing,1,,появление мысли
PHR_011,PHRASE,инициация мысли,FLASH_THOUGHT,PHRASE,мысль мелькнула,мысль мелькнуть,мысль мелькнула [инициация мысли],CORE,manual_existing,1,,инверсивный вариант
PHR_012,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,мысль пришла,мысль прийти,мысль пришла [инициация мысли],CORE,manual_existing,1,,инверсивный вариант
PHR_013,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,мысль возникла,мысль возникнуть,мысль возникла [инициация мысли],CORE,manual_existing,1,,инверсивный вариант
PHR_014,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,неожиданная мысль,неожиданный мысль,неожиданная мысль [инициация мысли],CORE,manual_existing,1,,номинативный вариант
PHR_015,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,одна мысль,один мысль,одна мысль [инициация мысли],CORE,manual_existing,1,,номинативный вариант
PHR_016,PHRASE,процесс размышления,THINK_INTENSIVE,PHRASE,долго думать,долго думать,долго думать [процесс размышления],CORE,manual_existing,1,,интенсивность/протяженность мышления
PHR_017,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,крепко думать,крепко думать,крепко думать [процесс размышления],CORE,manual_existing,1,,интенсивность размышления
PHR_018,PHRASE,процесс размышления,THINK_INTENSIVE,PHRASE,тяжело думать,тяжело думать,тяжело думать [процесс размышления],CORE,manual_existing,1,,эмоционально окрашенное размышление
PHR_019,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,молча думать,молча думать,молча думать [процесс размышления],CORE,manual_existing,1,,внутренняя концентрация
PHR_020,PHRASE,процесс размышления,THINK_INTENSIVE,PHRASE,думать долго,думать долго,думать долго [процесс размышления],CORE,manual_existing,1,,инверсивный вариант
PHR_021,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думать крепко,думать крепко,думать крепко [процесс размышления],CORE,manual_existing,1,,инверсивный вариант
PHR_022,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,начать думать,начать думать,начать думать [процесс размышления],CORE,manual_existing,1,,начало мыслительного процесса
PHR_023,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,продолжать думать,продолжать думать,продолжать думать [процесс размышления],CORE,manual_existing,1,,продолжение мыслительного процесса
PHR_024,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,перестать думать,перестать думать,перестать думать [процесс размышления],CORE,manual_existing,1,,прекращение мыслительного процесса
PHR_025,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,заставить думать,заставить думать,заставить думать [процесс размышления],CORE,manual_existing,1,,каузированное размышление
PHR_026,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думать об этом,думать о это,думать об этом [процесс размышления],CORE,manual_existing,1,,предмет размышления
PHR_027,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думать о том,думать о то,думать о том [процесс размышления],CORE,manual_existing,1,,предмет размышления
PHR_028,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думать про себя,думать про себя,думать про себя [процесс размышления],CORE,manual_existing,1,,внутренний мыслительный процесс
PHR_029,PHRASE,процесс размышления,REFLECT_GENERAL,PHRASE,размышлять о,размышлять о,размышлять о [процесс размышления],CORE,manual_existing,1,,аналитическое размышление
PHR_030,PHRASE,процесс размышления,REFLECT_GENERAL,PHRASE,раздумывать о,раздумывать о,раздумывать о [процесс размышления],CORE,manual_existing,1,,аналитическое размышление
PHR_031,PHRASE,процесс размышления,REFLECT_GENERAL,PHRASE,обдумывать дело,обдумывать дело,обдумывать дело [процесс размышления],CORE,manual_existing,1,,обдумывание ситуации
PHR_032,PHRASE,процесс размышления,HEAD_MIND,PHRASE,погрузиться в думы,погрузиться в дума,погрузиться в думы [процесс размышления],CORE,manual_existing,1,,состояние размышления
PHR_033,PHRASE,процесс размышления,HEAD_MIND,PHRASE,уйти в думы,уйти в дума,уйти в думы [процесс размышления],CORE,manual_existing,1,,состояние размышления
PHR_034,PHRASE,процесс размышления,REFLECT_GENERAL,PHRASE,сидеть в раздумье,сидеть в раздумье,сидеть в раздумье [процесс размышления],CORE,manual_existing,1,,состояние размышления
PHR_047,PHRASE,память / воспоминание,MEMORY_SURFACE,PHRASE,восстановил в памяти,восстановить в память,восстановил в памяти [память / воспоминание],CORE,manual_existing,1,,исходный пример руководителя
PHR_048,PHRASE,память / воспоминание,REMEMBER,PHRASE,вспомнить разговор,вспомнить разговор,вспомнить разговор [память / воспоминание],CORE,manual_existing,1,,предмет воспоминания
PHR_049,PHRASE,память / воспоминание,REMEMBER,PHRASE,вспомнить всё,вспомнить всё,вспомнить всё [память / воспоминание],CORE,manual_existing,1,,полное воспоминание
PHR_050,PHRASE,память / воспоминание,REMEMBER,PHRASE,вдруг вспомнить,вдруг вспомнить,вдруг вспомнить [память / воспоминание],CORE,manual_existing,1,,внезапное воспоминание
