canonical_microtheme,aliases
процесс размышления,размышление; процесс размышления; прямое размышление; раздумье
инициация мысли,начало мысли; инициация мысли; мысль появляется; появление мысли
память / воспоминание,память/воспоминание; память / воспоминание; воспоминание; забывание
понимание / ясность,понимание/ясность; понимание / ясность; ясность; непонимание
догадка / соображение,догадка; соображение; догадка/соображение; смекалка
решение / намерение,решение/намерение; решение / намерение; намерение; выбор
сомнение / колебание,сомнение/колебание; сомнение / колебание; сомнение; колебание
внутренняя речь,внутренняя речь; мысленная речь; речь про себя
навязчивая мысль,навязчивая мысль; мысль как давление; когнитивное напряжение
голова / ум как орган мышления,голова / ум; голова/ум; ум; голова; мозги
рассуждение / вывод,рассуждение; вывод; логический вывод; оценка/рассуждение
модальная формула мышления,модальные формулы; надо подумать; нужно понять
побуждение к мышлению,побуждение; побуждение к мышлению; обращение к мышлению
интуитивное понимание,интуитивное понимание; сердце подсказало; нутром чуял
эмоционально окрашенная мысль,эмоционально-когнитивные состояния; эмоционально окрашенная мысль; тревожная мысль
лексико-тематическая группа мышления,лексико-тематическая группа мышления
