id,microtheme,phrase_family,phrase_text,pattern_lemmas,precision_level,source_type,enabled,risk_comment,comment
PHR_001,инициация мысли,COME_TO_MIND,прийти на ум,прийти на ум,CORE,manual_existing,1,,исходный фразовый маркер
PHR_002,инициация мысли,COME_TO_MIND,прийти в голову,прийти в голова,CORE,manual_existing,1,,устойчивая когнитивная формула
PHR_003,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,пришла мысль,прийти мысль,CORE,manual_existing,1,,вариант формулы появления мысли
PHR_004,инициация мысли,FLASH_THOUGHT,мелькнуть в голове,мелькнуть в голова,CORE,manual_existing,1,,исходный фразовый маркер
PHR_005,инициация мысли,FLASH_THOUGHT,мелькнула мысль,мелькнуть мысль,CORE,manual_existing,1,,вариант формулы появления мысли
PHR_006,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,возникла мысль,возникнуть мысль,CORE,manual_existing,1,,появление мысли
PHR_007,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,явилась мысль,явиться мысль,CORE,manual_existing,1,,появление мысли
PHR_008,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,родилась мысль,родиться мысль,CORE,manual_existing,1,,появление мысли
PHR_009,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,зародилась мысль,зародиться мысль,CORE,manual_existing,1,,появление мысли
PHR_010,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,шевельнулась мысль,шевельнуться мысль,CORE,manual_existing,1,,появление мысли
PHR_011,инициация мысли,FLASH_THOUGHT,мысль мелькнула,мысль мелькнуть,CORE,manual_existing,1,,инверсивный вариант
PHR_012,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,мысль пришла,мысль прийти,CORE,manual_existing,1,,инверсивный вариант
PHR_013,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,мысль возникла,мысль возникнуть,CORE,manual_existing,1,,инверсивный вариант
PHR_014,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,неожиданная мысль,неожиданный мысль,CORE,manual_existing,1,,номинативный вариант
PHR_015,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,одна мысль,один мысль,CORE,manual_existing,1,,номинативный вариант
PHR_016,процесс размышления,THINK_INTENSIVE,долго думать,долго думать,CORE,manual_existing,1,,интенсивность/протяженность мышления
PHR_017,процесс размышления,THINK_GENERAL,крепко думать,крепко думать,CORE,manual_existing,1,,интенсивность размышления
PHR_018,процесс размышления,THINK_INTENSIVE,тяжело думать,тяжело думать,CORE,manual_existing,1,,эмоционально окрашенное размышление
PHR_019,процесс размышления,THINK_GENERAL,молча думать,молча думать,CORE,manual_existing,1,,внутренняя концентрация
PHR_020,процесс размышления,THINK_INTENSIVE,думать долго,думать долго,CORE,manual_existing,1,,инверсивный вариант
PHR_021,процесс размышления,THINK_GENERAL,думать крепко,думать крепко,CORE,manual_existing,1,,инверсивный вариант
PHR_022,процесс размышления,THINK_GENERAL,начать думать,начать думать,CORE,manual_existing,1,,начало мыслительного процесса
PHR_023,процесс размышления,THINK_GENERAL,продолжать думать,продолжать думать,CORE,manual_existing,1,,продолжение мыслительного процесса
PHR_024,процесс размышления,THINK_GENERAL,перестать думать,перестать думать,CORE,manual_existing,1,,прекращение мыслительного процесса
PHR_025,процесс размышления,THINK_GENERAL,заставить думать,заставить думать,CORE,manual_existing,1,,каузированное размышление
PHR_026,процесс размышления,THINK_GENERAL,думать об этом,думать о это,CORE,manual_existing,1,,предмет размышления
PHR_027,процесс размышления,THINK_GENERAL,думать о том,думать о то,CORE,manual_existing,1,,предмет размышления
PHR_028,процесс размышления,THINK_GENERAL,думать про себя,думать про себя,CORE,manual_existing,1,,внутренний мыслительный процесс
PHR_029,процесс размышления,REFLECT_GENERAL,размышлять о,размышлять о,CORE,manual_existing,1,,аналитическое размышление
PHR_030,процесс размышления,REFLECT_GENERAL,раздумывать о,раздумывать о,CORE,manual_existing,1,,аналитическое размышление
PHR_031,процесс размышления,REFLECT_GENERAL,обдумывать дело,обдумывать дело,CORE,manual_existing,1,,обдумывание ситуации
PHR_032,процесс размышления,HEAD_MIND,погрузиться в думы,погрузиться в дума,CORE,manual_existing,1,,состояние размышления
PHR_033,процесс размышления,HEAD_MIND,уйти в думы,уйти в дума,CORE,manual_existing,1,,состояние размышления
PHR_034,процесс размышления,REFLECT_GENERAL,сидеть в раздумье,сидеть в раздумье,CORE,manual_existing,1,,состояние размышления
PHR_035,внутренняя речь,INNER_SPEECH,мысленно проговорил,мысленно проговорить,EXTENDED,manual_existing,1,,исходный пример руководителя
PHR_036,внутренняя речь,INNER_SPEECH,мысленно сказал,мысленно сказать,EXTENDED,manual_existing,1,,внутренняя реплика
PHR_037,внутренняя речь,INNER_SPEECH,мысленно произнес,мысленно произнести,EXTENDED,manual_existing,1,,внутренняя реплика
PHR_038,внутренняя речь,INNER_SPEECH,мысленно повторил,мысленно повторить,EXTENDED,manual_existing,1,,внутреннее повторение
PHR_039,внутренняя речь,INNER_SPEECH,сказал про себя,сказать про себя,EXTENDED,manual_existing,1,,внутренняя речь
PHR_040,внутренняя речь,INNER_SPEECH,проговорил про себя,проговорить про себя,EXTENDED,manual_existing,1,,внутренняя речь
PHR_041,внутренняя речь,INNER_SPEECH,повторил про себя,повторить про себя,EXTENDED,manual_existing,1,,внутренняя речь
PHR_042,внутренняя речь,THINK_GENERAL,подумал про себя,подумать про себя,EXTENDED,manual_existing,1,,внутренняя мысль
PHR_043,внутренняя речь,ВНУТРЕННЯЯ_РЕЧЬ,спросил себя,спросить себя,EXTENDED,manual_existing,1,,внутренний вопрос
PHR_044,внутренняя речь,ВНУТРЕННЯЯ_РЕЧЬ,спрашивал себя,спрашивать себя,EXTENDED,manual_existing,1,,внутренний вопрос
PHR_045,внутренняя речь,ВНУТРЕННЯЯ_РЕЧЬ,твердил себе,твердить себя,EXTENDED,manual_existing,1,,внутреннее повторение
PHR_046,внутренняя речь,DECIDE,решил про себя,решить про себя,EXTENDED,manual_existing,1,,внутреннее решение
PHR_047,память / воспоминание,MEMORY_SURFACE,восстановил в памяти,восстановить в память,CORE,manual_existing,1,,исходный пример руководителя
PHR_048,память / воспоминание,REMEMBER,вспомнить разговор,вспомнить разговор,CORE,manual_existing,1,,предмет воспоминания
PHR_049,память / воспоминание,REMEMBER,вспомнить всё,вспомнить всё,CORE,manual_existing,1,,полное воспоминание
PHR_050,память / воспоминание,REMEMBER,вдруг вспомнить,вдруг вспомнить,CORE,manual_existing,1,,внезапное воспоминание
PHR_051,память / воспоминание,REMEMBER,сразу вспомнить,сразу вспомнить,CORE,manual_existing,1,,быстрое воспоминание
PHR_052,память / воспоминание,REMEMBER,припомнить вдруг,припомнить вдруг,CORE,manual_existing,1,,внезапное припоминание
PHR_053,память / воспоминание,REMEMBER,припомнить всё,припомнить всё,CORE,manual_existing,1,,полное припоминание
PHR_054,память / воспоминание,MEMORY_SURFACE,всплыть в памяти,всплыть в память,CORE,manual_existing,1,,восстановление в памяти
PHR_055,память / воспоминание,MEMORY_SURFACE,воскреснуть в памяти,воскреснуть в память,CORE,manual_existing,1,,восстановление в памяти
PHR_056,память / воспоминание,MEMORY_SURFACE,остаться в памяти,остаться в память,CORE,manual_existing,1,,удержание памяти
PHR_057,память / воспоминание,MEMORY_SURFACE,держать в памяти,держать в память,CORE,manual_existing,1,,удержание памяти
PHR_058,память / воспоминание,MEMORY_SURFACE,хранить в памяти,хранить в память,CORE,manual_existing,1,,удержание памяти
PHR_059,память / воспоминание,MEMORY_SURFACE,пришло на память,прийти на память,CORE,manual_existing,1,,формула воспоминания
PHR_060,память / воспоминание,ПАМЯТЬ_ВОСПОМИНАНИЕ,не забывать,не забывать,CORE,manual_existing,1,,отрицательная память
PHR_061,понимание / ясность,BECOME_CLEAR,стало ясно,стать ясно,CORE,manual_existing,1,,исходный пример руководителя
PHR_062,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,сделалось ясно,сделаться ясно,CORE,manual_existing,1,,вариант ясности
PHR_063,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,стало понятно,стать понятно,CORE,manual_existing,1,,формула понимания
PHR_064,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,сделалось понятно,сделаться понятно,CORE,manual_existing,1,,формула понимания
PHR_065,понимание / ясность,UNDERSTAND,понять наконец,понять наконец,CORE,manual_existing,1,,завершение понимания
PHR_066,понимание / ясность,UNDERSTAND,наконец понять,наконец понять,CORE,manual_existing,1,,завершение понимания
PHR_067,понимание / ясность,UNDERSTAND,вдруг понять,вдруг понять,CORE,manual_existing,1,,внезапное понимание
PHR_068,понимание / ясность,UNDERSTAND,сразу понять,сразу понять,CORE,manual_existing,1,,быстрое понимание
