hit_type,marker_id,sent_id,token_idx,token_end_idx,target_lemma,target_surface,sent_text,prev_sent_text,next_sent_text,context_window,overlaps_phrase,phrase_overlap_ids,is_noise,noise_reason,count_in_main_stats,hit_id,marker_label,microtheme,phrase_family,unit_type,marker_source,precision_level,source_type,risk_comment,unit_raw,unit_norm,MelekhovLink,MelekhovEvidence,Perspective,PerspectiveEvidence,PerspectiveConfidence,SpeakerDetected,AddresseeDetected,OthersSpeechAct,BookId,Book,PartId,Part
WORD,S1_014,390,6,6,вспомнить,вспомнил,"Григорий, засыпая под мерный баюкающий скрип, вспомнил: «А ить завтра Петру в лагеря выходить.","— Коня с седлом,
С золотым махром…",Останется Дашка с дитем…,"— Коня с седлом,
С золотым махром… Григорий, засыпая под мерный баюкающий скрип, вспомнил: «А ить завтра Петру в лагеря выходить. Останется Дашка с дитем…",False,,False,,True,3,вспомнить [память / воспоминание],память / воспоминание,WORD_CORE,WORD,S1,CORE,curated,,вспомнить,вспомнить,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_004,968,4,4,решить,решила,"Проводив Степана в лагеря, решила с Гришкой видеться как можно реже.","Пугало это новое, заполнявшее всю ее чувство, и в мыслях шла ощупью, осторожно, как через Дон по мартовскому ноздреватому льду.",После ловли бреднем решение это укрепилось в ней еще прочнее.,"Пугало это новое, заполнявшее всю ее чувство, и в мыслях шла ощупью, осторожно, как через Дон по мартовскому ноздреватому льду. Проводив Степана в лагеря, решила с Гришкой видеться как можно реже. После ловли бреднем решение это укрепилось в ней еще прочнее.",False,,False,,True,14,решить [решение],решение,WORD_CORE,WORD,S1,CORE,curated,,решить,решить,YES,same_sentence:Гришкой,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_002,1157,7,7,подумать,подумал,"«Дойду вон до энтого кустика, косу отобью», — подумал Григорий и почувствовал, как коса прошла по чему-то вязкому.","Дуняшка сидела на вие, тонюсеньким голоском пела.",Нагнулся посмотреть: из-под ног с писком заковылял в траву маленький дикий утенок.,"Дуняшка сидела на вие, тонюсеньким голоском пела. «Дойду вон до энтого кустика, косу отобью», — подумал Григорий и почувствовал, как коса прошла по чему-то вязкому. Нагнулся посмотреть: из-под ног с писком заковылял в траву маленький дикий утенок.",False,,False,,True,17,подумать [инициация мысли],инициация мысли,WORD_CORE,WORD,S1,CORE,curated,,подумать,подумать,YES,same_sentence:Григорий,HERO_DIRECT_SPEECH,direct_speech;speech_verb_after_quote:Григорий,HIGH,Григорий,,,1,Книга первая,1,Часть первая
WORD,S1_001,1472,5,5,думать,думает,"Григорий углом переламывает левую бровь, думает и неожиданно открывает горячие свои, нерусские глаза.",Хучь словцо урони.,Они смеются.,"Хучь словцо урони. Григорий углом переламывает левую бровь, думает и неожиданно открывает горячие свои, нерусские глаза. Они смеются.",False,,False,,True,20,думать [процесс размышления],процесс размышления,WORD_CORE,WORD,S1,CORE,curated,,думать,думать,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_002,1767,2,2,подумать,подумал,"Так и подумал Гришка, увидев из окна горницы, как подпрыгивает Степан.",Издали на Степана глядеть — казачка человек вытанцовывает.,А доглядел — и выскочил из куреня.,"Издали на Степана глядеть — казачка человек вытанцовывает. Так и подумал Гришка, увидев из окна горницы, как подпрыгивает Степан. А доглядел — и выскочил из куреня.",False,,False,,True,22,подумать [инициация мысли],инициация мысли,WORD_CORE,WORD,S1,CORE,curated,,подумать,подумать,YES,same_sentence:Гришка,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_001,1897,4,4,думать,думал,"Слушал старик Мелехов и думал, восхищаясь: «Эк чешет, дьявол, языкастая!",Тек Пантелею Прокофьевичу в уши патокой свашенькин журчливый голосок.,"Скажи, как чулок вяжет.","Тек Пантелею Прокофьевичу в уши патокой свашенькин журчливый голосок. Слушал старик Мелехов и думал, восхищаясь: «Эк чешет, дьявол, языкастая! Скажи, как чулок вяжет.",False,,False,,True,26,думать [процесс размышления],процесс размышления,WORD_CORE,WORD,S1,CORE,curated,,думать,думать,YES,same_sentence:Мелехов,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_001,2083,20,20,думать,думала,"В эту минуту она сама верила, что не затем пришла, чтобы навязываться Григорию; но когда бежала над Доном в займище, думала, не отдавая себе ясного отчета: «Отговорю!",Не боись!,Нехай не женится.,"Не боись! В эту минуту она сама верила, что не затем пришла, чтобы навязываться Григорию; но когда бежала над Доном в займище, думала, не отдавая себе ясного отчета: «Отговорю! Нехай не женится.",False,,False,,True,35,думать [процесс размышления],процесс размышления,WORD_CORE,WORD,S1,CORE,curated,,думать,думать,YES,same_sentence:Григорию,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_001,2117,0,0,думать,Думала,"Думала, скажет Григорий: «…прикончим Степана», но он досадливо облизал пересохшие губы (тяжело ворочались они), сказал:
— …прикончим эту историю.","Огонь страха и нетерпения жадно лизал ей лицо, сушил во рту слюну.",А?,"Огонь страха и нетерпения жадно лизал ей лицо, сушил во рту слюну. Думала, скажет Григорий: «…прикончим Степана», но он досадливо облизал пересохшие губы (тяжело ворочались они), сказал:
— …прикончим эту историю. А?",False,,False,,True,38,думать [процесс размышления],процесс размышления,WORD_CORE,WORD,S1,CORE,curated,,думать,думать,YES,same_sentence:Григорий,OTHERS_TO_HERO,direct_speech;unknown_speaker;hero_name_in_utterance;speechact=STATEMENT,LOW,UNKNOWN,Григорий,STATEMENT,1,Книга первая,1,Часть первая
WORD,S1_011,2201,6,6,мысль,мысль,"— Должно, дома что-нибудь… — высказал Григорий общую мысль.",— Петро в испуганном недоумении затоптался на месте.,"Пантелей Прокофьевич, не доезжая саженей сто, придержал лошадь, затрусил рысью.","— Петро в испуганном недоумении затоптался на месте. — Должно, дома что-нибудь… — высказал Григорий общую мысль. Пантелей Прокофьевич, не доезжая саженей сто, придержал лошадь, затрусил рысью.",False,,False,,True,40,мысль [мысленный акт/реплика],мысленный акт/реплика,WORD_CORE,WORD,S1,CORE,curated,,мысль,мысль,YES,same_sentence:Григорий,HERO_DIRECT_SPEECH,direct_speech;speech_verb_after_quote:Григорий,HIGH,Григорий,,,1,Книга первая,1,Часть первая
WORD,S1_011,2525,1,1,мысль,мыслях,"В мыслях шла баба на новое бесчестье, на прежний позор: решила отнять Гришку у счастливой, ни горя, ни радости любовной не ведавшей Натальи Коршуновой.","По ночам, исступленно лаская мужа, думала Аксинья о другом, и плелась в душе ненависть с великой любовью.","По ночам передумывала вороха мыслей, моргала сухими глазами в темь.","По ночам, исступленно лаская мужа, думала Аксинья о другом, и плелась в душе ненависть с великой любовью. В мыслях шла баба на новое бесчестье, на прежний позор: решила отнять Гришку у счастливой, ни горя, ни радости любовной не ведавшей Натальи Коршуновой. По ночам передумывала вороха мыслей, моргала сухими глазами в темь.",False,,False,,True,46,мысль [мысленный акт/реплика],мысленный акт/реплика,WORD_CORE,WORD,S1,CORE,curated,,мысль,мысль,YES,same_sentence:Гришку,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_004,2525,10,10,решить,решила,"В мыслях шла баба на новое бесчестье, на прежний позор: решила отнять Гришку у счастливой, ни горя, ни радости любовной не ведавшей Натальи Коршуновой.","По ночам, исступленно лаская мужа, думала Аксинья о другом, и плелась в душе ненависть с великой любовью.","По ночам передумывала вороха мыслей, моргала сухими глазами в темь.","По ночам, исступленно лаская мужа, думала Аксинья о другом, и плелась в душе ненависть с великой любовью. В мыслях шла баба на новое бесчестье, на прежний позор: решила отнять Гришку у счастливой, ни горя, ни радости любовной не ведавшей Натальи Коршуновой. По ночам передумывала вороха мыслей, моргала сухими глазами в темь.",False,,False,,True,47,решить [решение],решение,WORD_CORE,WORD,S1,CORE,curated,,решить,решить,YES,same_sentence:Гришку,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_004,2532,2,2,решить,решила,"Одно лишь решила накрепко: Гришку отнять у всех, залить любовью, владеть им, как раньше.",Передумывала.,"И на донышке сердца остренькое, похожее на оставленное жало пчелы, точило сукровичную боль.","Передумывала. Одно лишь решила накрепко: Гришку отнять у всех, залить любовью, владеть им, как раньше. И на донышке сердца остренькое, похожее на оставленное жало пчелы, точило сукровичную боль.",False,,False,,True,50,решить [решение],решение,WORD_CORE,WORD,S1,CORE,curated,,решить,решить,YES,same_sentence:Гришку,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,1,Часть первая
WORD,S1_018,3362,17,17,осознать,осознал,"Григорий малость пообвык в новом своем, женатом положении, пообтерхался и недели через три со страхом и озлоблением осознал в душе, что не вконец порвано с Аксиньей, осталось что-то, как заноза в сердце.","— Нехай хучь первый годок покохается, — вздыхала Ильинична, вспоминая свою горбатую в работе жизнь.",И с этой болью ему не скоро расстаться.,"— Нехай хучь первый годок покохается, — вздыхала Ильинична, вспоминая свою горбатую в работе жизнь. Григорий малость пообвык в новом своем, женатом положении, пообтерхался и недели через три со страхом и озлоблением осознал в душе, что не вконец порвано с Аксиньей, осталось что-то, как заноза в сердце. И с этой болью ему не скоро расстаться.",False,,False,,True,67,осознать [понимание / ясность],понимание / ясность,WORD_CORE,WORD,S1,CORE,curated,,осознать,осознать,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
