hit_type,marker_id,sent_id,token_idx,token_end_idx,target_lemma,target_surface,sent_text,prev_sent_text,next_sent_text,context_window,overlaps_phrase,phrase_overlap_ids,is_noise,noise_reason,count_in_main_stats,hit_id
PHRASE,PHR_135,0,4,6,думать о случившемся,думал о случившемся,Григорий подумал и долго думал о случившемся.,,"Подумаешь, дерьмо какое — сказал он и махнул рукой.","Григорий подумал и долго думал о случившемся. Подумаешь, дерьмо какое — сказал он и махнул рукой.",False,,False,,True,1
WORD,S1_002,0,1,1,подумать,подумал,Григорий подумал и долго думал о случившемся.,,"Подумаешь, дерьмо какое — сказал он и махнул рукой.","Григорий подумал и долго думал о случившемся. Подумаешь, дерьмо какое — сказал он и махнул рукой.",False,,False,,True,2
WORD,S1_001,0,4,4,думать,думал,Григорий подумал и долго думал о случившемся.,,"Подумаешь, дерьмо какое — сказал он и махнул рукой.","Григорий подумал и долго думал о случившемся. Подумаешь, дерьмо какое — сказал он и махнул рукой.",True,PHR_135,False,,False,3
WORD,S1_002,1,0,0,подумать,Подумаешь,"Подумаешь, дерьмо какое — сказал он и махнул рукой.",Григорий подумал и долго думал о случившемся.,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Григорий подумал и долго думал о случившемся. Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.",False,,True,PARTICLE_PODUMAYESH,True,4
PHRASE,PHR_048,2,2,3,вспомнить разговор,вспомнил разговор,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",False,,False,,True,5
PHRASE,PHR_047,2,5,7,восстановить в память,восстановил в памяти,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",False,,False,,True,6
PHRASE,PHR_351,2,9,11,ему стать ясно,ему стало ясно,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",False,,False,,True,7
WORD,S1_014,2,2,2,вспомнить,вспомнил,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",True,PHR_048,False,,False,8
WORD,S1_020,2,11,11,ясно,ясно,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.","Подумаешь, дерьмо какое — сказал он и махнул рукой.","— Пораскинь мозгами и пойми, — сказал Ермаков.","Подумаешь, дерьмо какое — сказал он и махнул рукой. Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков.",True,PHR_351,False,,False,9
PHRASE,PHR_106,3,0,1,пораскинуть мозг,Пораскинь мозгами,"— Пораскинь мозгами и пойми, — сказал Ермаков.","Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.",Гришка мысленно проговорил: «Ребячья игра».,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",False,,False,,True,10
WORD,S1_023,3,0,0,пораскинуть,Пораскинь,"— Пораскинь мозгами и пойми, — сказал Ермаков.","Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.",Гришка мысленно проговорил: «Ребячья игра».,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",True,PHR_106,False,,False,11
WORD,S1_017,3,3,3,понять,пойми,"— Пораскинь мозгами и пойми, — сказал Ермаков.","Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига.",Гришка мысленно проговорил: «Ребячья игра».,"Наутро Григорий вспомнил разговор и восстановил в памяти детали; ему стало ясно, что это интрига. — Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",False,,False,,True,12
PHRASE,PHR_035,4,1,2,мысленно проговорить,мысленно проговорил,Гришка мысленно проговорил: «Ребячья игра».,"— Пораскинь мозгами и пойми, — сказал Ермаков.",,"— Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",False,,False,,True,13
WORD,S1_012,4,1,1,мысленно,мысленно,Гришка мысленно проговорил: «Ребячья игра».,"— Пораскинь мозгами и пойми, — сказал Ермаков.",,"— Пораскинь мозгами и пойми, — сказал Ермаков. Гришка мысленно проговорил: «Ребячья игра».",True,PHR_035,False,,False,14
