sent_id,sent_text,word_count,encoding
0,Не сохами-то славная землюшка наша распахана…,6,utf-8
1,"Распахана наша землюшка лошадиными копытами,
А засеяна славная землюшка казацкими головами,
Украшен-то наш тихий Дон молодыми вдовами.",17,utf-8
2,"Цветен наш батюшка тихий Дон сиротами,
Наполнена волна в тихом Дону отцовскими,
материнскими слезами.",14,utf-8
3,"Ой ты, наш батюшка тихий Дон!",6,utf-8
4,"Ой, что же ты, тихий Дон, мутнехонек течешь?",8,utf-8
5,"Ах, как мне, тиху Дону, не мутну течи!",8,utf-8
6,"Со дна меня, тиха Дона, студены ключи бьют,
Посередь меня, тиха Дона, бела рыбица мутит.",15,utf-8
7,"Старинные казачьи песни

I
Мелеховский двор — на самом краю хутора.",10,utf-8
8,Воротца со скотиньего база ведут на север к Дону.,9,utf-8
9,"Крутой восьмисаженный спуск меж замшелых в прозелени меловых глыб, и вот берег: перламутровая россыпь ракушек, серая изломистая кайма нацелованной волнами гальки и дальше — перекипающее под ветром вороненой рябью стремя Дона.",30,utf-8
10,"На восток, за красноталом гуменных плетней, — Гетманский шлях, полынная проседь, истоптанный конскими копытами бурый, живущо́й придорожник, часовенка на развилке; за ней — задернутая текучим маревом степь.",25,utf-8
11,С юга — меловая хребтина горы.,5,utf-8
12,"На запад — улица, пронизывающая площадь, бегущая к займищу.",8,utf-8
13,В предпоследнюю турецкую кампанию вернулся в хутор казак Мелехов Прокофий.,10,utf-8
14,"Из Туретчины привел он жену — маленькую, закутанную в шаль женщину.",10,utf-8
15,"Она прятала лицо, редко показывая тоскующие одичалые глаза.",8,utf-8
16,"Пахла шелковая шаль далекими неведомыми запахами, радужные узоры ее питали бабью зависть.",12,utf-8
17,"Пленная турчанка сторонилась родных Прокофия, и старик Мелехов вскоре отделил сына.",11,utf-8
18,"В курень его не ходил до смерти, не забывая обиды.",10,utf-8
19,"Прокофий обстроился скоро: плотники срубили курень, сам пригородил базы для скотины и к осени увел на новое хозяйство сгорбленную иноземку-жену.",20,utf-8
20,"Шел с ней за арбой с имуществом по хутору — высыпали на улицу все, от мала до велика.",17,utf-8
